日本拳法部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/709666520759017473/8JEWn6UG_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=32,http://twitter.com/kobenipponkempo,"",""
弓道部,【運動系】武道・武術・射的,https://pbs.twimg.com/profile_images/3377837813/3b01f309a50a39b090ed084b1607bfde_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=33,http://twitter.com/shinkyushinkan,"",http://home.kobe-u.com/kyudo/index.htm
柔道部,【運動系】武道・武術・射的,https://www.biber.com/dta/themes/biber/core/assets/images/no-featured-175.jpg,http://weebee1212.com/sp/dantai/content.php?id=34,"","",http://kobe-judo.com
漕艇部,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/671332685617336321/OJveEoLP_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=35,http://twitter.com/rowing_kobe02,"",http://kurchp.wixsite.com/kobe-u-rowing
男子端艇部,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/800936906624073728/QnxT0LFp_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=36,http://twitter.com/Cutter_Kobe63,https://www.facebook.com/kobe.cutter,http://kobe.cutterjapan.com
女子カッター部,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/854488786624958464/7Y82-JfA_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=37,http://twitter.com/cutter_kobe,"",""
水泳部競泳面,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/823772009800732672/Ta4gHkaD_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=38,http://twitter.com/kust_shinkan17,"",http://home.kobe-u.com/kobeswim/race/
水泳部水球面,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/823772009800732672/Ta4gHkaD_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=39,http://twitter.com/kust_shinkan17,"",http://home.kobe-u.com/kobeswim/race/
ウインドサーフィン部,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/443953466545668098/btGNgcRj_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=40,http://twitter.com/kobewsf,https://www.facebook.com/kobe.wind,http://home.kobe-u.com/wind/
オフショアセーリングクラブ,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/840176423742525441/B_f-3NZr_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=41,http://twitter.com/offshorewelcome,https://www.facebook.com/offshoresailingclub,http://kuosc-sailing.sakura.ne.jp
カヌー部,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/1705469518/CIMG3622_400x400.JPG,http://weebee1212.com/sp/dantai/content.php?id=42,http://twitter.com/kobecanoe1,"",https://sites.google.com/site/kobecanoe4/
ヨット部,【運動系】マリンスポーツ,https://pbs.twimg.com/profile_images/912243114747641856/RNrX9bcy_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=43,http://twitter.com/kobeyacht,https://www.facebook.com/神戸大学体育会ヨット部,http://home.kobe-u.com/yacht/
スキー部,【運動系】ウィンタースポーツ,https://pbs.twimg.com/profile_images/724574093362647041/htRu86SO_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=44,http://twitter.com/KobeRacing,https://www.facebook.com/神戸大学体育会スキー部-1536941316573589,http://home.kobe-u.com/kobeski/index.html
スケート部スピード部門,【運動系】ウィンタースポーツ,https://pbs.twimg.com/profile_images/840218791636164608/v8Yb1Mxb_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=45,http://twitter.com/kobeu_skate_sf,"",http://home.kobe-u.com/skate/figure/figure.html
スケート部 フィギュア部門,【運動系】マイナースポーツ,https://pbs.twimg.com/profile_images/575462001800970242/bt0WSKmc_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=46,http://twitter.com/ha2chi23,"",http://home.kobe-u.com/skate/figure/figure.html
スノーボード部,【運動系】ウィンタースポーツ,https://pbs.twimg.com/profile_images/637603323638509568/BMkBCCow_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=47,http://twitter.com/ksbc_snow,"",http://ksbcsnow.web.fc2.com/
航空部,【運動系】スカイスポーツ,https://pbs.twimg.com/profile_images/566079536484204544/ggsU4BPi_400x400.jpeg,http://weebee1212.com/sp/dantai/content.php?id=48,http://twitter.com/kobeglider2017,"",http://kobe-univglider.jimdo.com/
自動車部,【運動系】モータースポーツ,https://pbs.twimg.com/profile_images/731249598052765700/GFNvBkoe_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=49,http://twitter.com/teamshindai,"",http://teamshindai.ninja-web.net
サイクリング部,【運動系】アウトドア,https://pbs.twimg.com/profile_images/900932604576186369/1nOg0LVw_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=50,http://twitter.com/kobe_u_cycling,"",http://home.kobe-u.com/kucc/index.html
探検部,【運動系】アウトドア,https://pbs.twimg.com/profile_images/807249832158982145/QQaRDSqu_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=51,http://twitter.com/KobeTanken,"",""
山岳部,【運動系】アウトドア,https://pbs.twimg.com/profile_images/1383149579/twitter_icon_400x400.png,http://weebee1212.com/sp/dantai/content.php?id=52,http://twitter.com/acku_sangakubu,"",""
ワンダーフォーゲル部,【運動系】アウトドア,https://pbs.twimg.com/profile_images/557118793533517825/7Cat4IEi_400x400.png,http://weebee1212.com/sp/dantai/content.php?id=53,http://twitter.com/ku_wv55,"",http://www.geocities.co.jp/CollegeLife-Club/4301/
競技ダンス部,【文化系】その他,https://www.biber.com/dta/themes/biber/core/assets/images/no-featured-175.jpg,http://weebee1212.com/sp/dantai/content.php?id=54,"","",""
ゴルフ部,【運動系】その他,https://pbs.twimg.com/profile_images/790567605467611136/mQ_pxLSy_400x400.jpg,http://weebee1212.com/sp/dantai/content.php?id=55,http://twitter.com/kobe_golf,"",""
