岡川 鉄平,コミュニティスペース「Museum Base」運営者,http://weebee1212.com/interview/image/photo/58/main.jpg,仲間と一緒にいちから作り上げてきたこのお店にはすごく愛着がありますね,http://weebee1212.com/interview/content.php?id=58
黄勇太,人生をかけて研究に捧ぐ,http://weebee1212.com/interview/image/photo/59/main.jpg,しんどいけど楽しい。このけどの部分が大事なんです。,http://weebee1212.com/interview/content.php?id=59
三ツ矢・M・たらお,自由劇場 新入生歓迎公演「ゆめゆめこのじ」演出,http://weebee1212.com/interview/image/photo/60/main.jpg,最終的にお客さんがいいと思うものを作る,http://weebee1212.com/interview/content.php?id=60
金川武,国際文化学部3回生,http://weebee1212.com/interview/image/photo/61/main.jpg,自分が誰よりも楽しんでやるんだ!,http://weebee1212.com/interview/content.php?id=61
岩渕想太,現役神大生バンド“パノラマパナマタウン”Vo&Gt,http://weebee1212.com/interview/image/photo/62/main.jpg,一番面白いことするのは学生のはずなのに,http://weebee1212.com/interview/content.php?id=62
尾内 純,古本とジャズ『口笛文庫』 店主,http://weebee1212.com/interview/image/photo/63/main.jpg,古本屋をやりたいと、ずっと思っていました,http://weebee1212.com/interview/content.php?id=63
松村健司　井部良太,山岳部,http://weebee1212.com/interview/image/photo/64/main.jpg,ただ、登りたいから登っている,http://weebee1212.com/interview/content.php?id=64
切東 優,JUNK SHOP 店主,http://weebee1212.com/interview/image/photo/65/main.jpg,人々の集まるお店を作りたかったんです,http://weebee1212.com/interview/content.php?id=65
土生健太郎,放送委員会制作部,http://weebee1212.com/interview/image/photo/66/main.jpg,強引に自分の世界に連れ込む。それが僕の作品。,http://weebee1212.com/interview/content.php?id=66
山下真菜美, 元町映画館映画チア部  文学部2回生,http://weebee1212.com/interview/image/photo/67/main.jpg,1館1館の個性が出る。それがミニシアターのいいところ。,http://weebee1212.com/interview/content.php?id=67
とに,"""ラーメン荘　歴史を刻め　六甲道""店主",http://weebee1212.com/interview/image/photo/68/main.jpg,腹減ったら食べにおいで,http://weebee1212.com/interview/content.php?id=68
永岡 誠,工学部３回生,http://weebee1212.com/interview/image/photo/69/main.jpg,自分の直感に素直に、今を全力でやってみる。,http://weebee1212.com/interview/content.php?id=69
Scarlet,アカペラサークルGhanna Ghanna,http://weebee1212.com/interview/image/photo/70/main.jpg,大学生活かけてもいいと思えるものが、アカペラでした,http://weebee1212.com/interview/content.php?id=70
伊藤弘之,国際文化学部卒業後、2013年P&G Japan Sales 入社,http://weebee1212.com/interview/image/photo/71/main.jpg,自分がやること全てをとにかく楽しむということ,http://weebee1212.com/interview/content.php?id=71
中井英晶,神戸大学サッカー部主将,http://weebee1212.com/interview/image/photo/72/main.jpg,大学生サッカーを知ってほしい、楽しんでほしい。そして１つの感動を共有したい。,http://weebee1212.com/interview/content.php?id=72
インドラ・ラル・スベディ,INDRA MAHAL店主,http://weebee1212.com/interview/image/photo/73/main.jpg,学生のやりたいことを応援したい,http://weebee1212.com/interview/content.php?id=73
麳聖貴(こむぎ きよたか),エンカレッジ神戸大学支部長,http://weebee1212.com/interview/image/photo/74/main.jpg,Why are you here?自分と向き合う大切さを伝えたい,http://weebee1212.com/interview/content.php?id=74
中村　嘉孝（なかむら　よしたか）,神戸大学法学部４回,http://weebee1212.com/interview/image/photo/75/main.jpg,弱い人に寄り添っていきたい。僕自身が弱い人間だから。,http://weebee1212.com/interview/content.php?id=75
河本 真夕（かわもと まゆ）,神戸よさこいまつり実行委員長（山美鼓所属）,http://weebee1212.com/interview/image/photo/76/main.jpg,よさこいって、わけわからないくらい楽しい！,http://weebee1212.com/interview/content.php?id=76
山口弘記,『えんぴつ画プログラム』講師工学部/情報知能学科 1回生,http://weebee1212.com/interview/image/photo/77/main.jpg,息苦しさのない社会をつくりたい,http://weebee1212.com/interview/content.php?id=77
野村 奈央（のむら なお）,知るカフェ神戸大学前店店長 / 発達科学部2回生,http://weebee1212.com/interview/image/photo/78/main.jpg,笑って出会って感謝して、アドバイスをもらってまた感謝して、人をどんどん好きになって,http://weebee1212.com/interview/content.php?id=78
本田優,自由劇場＊以下：ジゲキ 2016年度新歓公演『室温』主演,http://weebee1212.com/interview/image/photo/79/main.jpg,これだったら大学生活4年間、棒に振ってもいい。そう思えたのが演劇でした。,http://weebee1212.com/interview/content.php?id=79
稲葉滉星,神戸大学持続的災害支援プロジェクトKonti代表,http://weebee1212.com/interview/image/photo/80/main.jpg,自分たちに出来るのは、人に寄り添うこと,http://weebee1212.com/interview/content.php?id=80
藤中良太,六甲祭実行委員会委員長,http://weebee1212.com/interview/image/photo/81/main.jpg,六甲祭当日は忙しさよりもとにかく楽しい！って想いが強いです。,http://weebee1212.com/interview/content.php?id=81
阿部恭介,経営学部３回生/ポケモンサークルもらいび代表,http://weebee1212.com/interview/image/photo/82/main.jpg,趣味を続けてたらいつの間にか世界大会までいってました、なんてこともあると思うので,http://weebee1212.com/interview/content.php?id=82
吉岡詩織,“よしおカフェ”店長,http://weebee1212.com/interview/image/photo/83/main.jpg,私にとっての強みが、たまたま料理だったっていうだけ,http://weebee1212.com/interview/content.php?id=83
